id,level1,level2,level3,level4,level5,full_name,common_name,species_name
1,Widespread,Lamprey,Pacific ,,,Lamprey Pacific ,"Lamprey, Pacific ",Lampetra tridentata  (Entosphenus tridentatus)
2,Widespread,Lamprey,River,,,Lamprey River ,"Lamprey, River",Lampetra ayresii  
3,Widespread,Lamprey,Western brook,,,Lamprey Western brook ,"Lamprey, Western brook",Lampetra richardsoni
4,Widespread,Salmon,Chinook,Deschutes River summer/fall-run ESU,,Salmon Chinook Deschutes River summer-fall-run ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
5,Widespread,Salmon,Chinook,Lower Columbia River Chinook ESU,,Salmon Chinook Lower Columbia River Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
6,Widespread,Salmon,Chinook,Middle Columbia River spring-run Chinook ESU,,Salmon Chinook Middle Columbia River spring-run Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
7,Widespread,Salmon,Chinook,Oregon Coast Chinook ESU,,Salmon Chinook Oregon Coast Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
8,Widespread,Salmon,Chinook,Puget Sound Chinook ESU,,Salmon Chinook Puget Sound Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
9,Widespread,Salmon,Chinook,Snake River Fall-run Chinook ESU,,Salmon Chinook Snake River Fall-run Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
10,Widespread,Salmon,Chinook,Snake River Spring/Summer Run Chinook ESU,,Salmon Chinook Snake River Spring-Summer Run Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
11,Widespread,Salmon,Chinook,Southern OR and Northern CA Coast Chinook ESU,,Salmon Chinook Southern OR and Northern CA Coast Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
12,Widespread,Salmon,Chinook,Upper Columbia River Spring-run Chinook ESU,,Salmon Chinook Upper Columbia River Spring-run Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
13,Widespread,Salmon,Chinook,Upper Columbia River summer/fall-run Chinook ESU,,Salmon Chinook Upper Columbia River summer-fall-run Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
14,Widespread,Salmon,Chinook,Upper Klamath-Trinity Rivers Chinook ESU,,Salmon Chinook Upper Klamath-Trinity Rivers Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
15,Widespread,Salmon,Chinook,Upper Willamette River Chinook ESU,,Salmon Chinook Upper Willamette River Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
16,Widespread,Salmon,Chinook,Washington Coast Chinook ESU,,Salmon Chinook Washington Coast Chinook ESU,"Salmon, Chinook",Oncorhynchus tshawytscha
17,Widespread,Salmon,Chum,Columbia River Chum ESU,,Salmon Chum Columbia River Chum ESU,"Salmon, Chum",Oncorhynchus keta
18,Widespread,Salmon,Chum,Hood Canal Summer-run Chum ESU,,Salmon Chum Hood Canal Summer-run Chum ESU,"Salmon, Chum",Oncorhynchus keta
19,Widespread,Salmon,Chum,Pacific Coast Chum ESU,,Salmon Chum Pacific Coast Chum ESU,"Salmon, Chum",Oncorhynchus keta
20,Widespread,Salmon,Chum,Puget Sound/Strait of Georgia Chum ESU,,Salmon Chum Puget Sound-Strait of Georgia Chum ESU,"Salmon, Chum",Oncorhynchus keta
21,Widespread,Salmon,Coho,Lower Columbia River Coho ESU,,Salmon Coho Lower Columbia River Coho ESU,"Salmon, Coho",Oncorhynchus kisutch
22,Widespread,Salmon,Coho,Olympic Peninsula Coho ESU,,Salmon Coho Olympic Peninsula Coho ESU,"Salmon, Coho",Oncorhynchus kisutch
23,Widespread,Salmon,Coho,Oregon Coast Coho ESU,,Salmon Coho Oregon Coast Coho ESU,"Salmon, Coho",Oncorhynchus kisutch
24,Widespread,Salmon,Coho,Puget Sound/Strait of Georgia Coho ESU,,Salmon Coho Puget Sound-Strait of Georgia Coho ESU,"Salmon, Coho",Oncorhynchus kisutch
25,Widespread,Salmon,Coho,Southern Oregon/Northern California Coho ESU,,Salmon Coho Southern Oregon-Northern California Coho ESU,"Salmon, Coho",Oncorhynchus kisutch
