species,category,10,20,30,40,50,60,70,80,90,100
Steelhead lower columbia river winter dps,Widespread steelhead,12,12,14,17,18,17,20,20,20,20
Chum puget soundstrait of georgia ESU,Widespread salmon,7,9,11,9,12,11,12,12,12,13
Olympic mudminnow,Locally endemic,7,8,14,14,14,14,14,14,14,14
Chinook upper columbia river summerfall run ESU,Widespread salmon,8,10,12,13,13,14,15,15,15,17
Yellowstone cutthroat trout,Widespread trout,4,4,5,5,5,5,5,5,5,6
Bonneville cutthroat trout,Widespread trout,6,4,4,7,6,6,6,7,7,7
Chub northern leatherside,Locally endemic,5,5,7,6,7,5,7,7,7,7
Lahontan cutthroat trout,Widespread trout,4,2,2,4,4,4,4,4,4,4
Sockeye snake river ESU,Widespread salmon,8,8,8,8,8,8,8,8,8,8
Sculpin margined,Locally endemic,9,11,6,10,10,10,12,12,12,12
Steelhead southwest washington dps,Widespread steelhead,7,7,16,8,8,16,13,16,16,16
Steelhead middle columbia river dps,Widespread steelhead,9,11,9,9,10,12,11,19,13,21
Pacific lamprey,Widespread lamprey,5,5,5,5,8,15,19,15,20,31
Sockeye okanogan river ESU,Widespread salmon,9,7,9,9,9,9,9,9,9,9
Chinook puget sound ESU,Widespread salmon,7,7,10,10,10,12,11,12,12,13
Pink even year ESU,Widespread salmon,9,9,9,9,9,10,9,9,10,10
Dace longnose,Locally endemic,23,32,37,41,42,40,43,41,43,46
Chinook deschutes river summerfall run ESU,Widespread salmon,8,8,8,8,8,8,8,8,8,8
Sockeye baker river ESU,Widespread salmon,8,8,8,8,8,8,8,8,8,8
Steelhead upper willamette river dps,Widespread steelhead,11,3,5,5,11,8,8,11,12,12
Coho olympic peninsula ESU,Widespread salmon,8,8,8,8,11,11,11,11,14,14
Chinook snake river springsummer run ESU,Widespread salmon,6,9,8,10,11,11,12,12,12,13
Chinook washington coast ESU,Widespread salmon,7,7,12,8,12,12,16,15,16,16
Steelhead klamath mountains province dps,Widespread steelhead,5,3,4,4,8,5,6,8,6,12
Bull trout,Widespread trout,19,44,43,51,46,48,51,52,53,54
Sockeye lake pleasant ESU,Widespread salmon,8,8,8,8,8,8,8,8,8,8
Sockeye quinalt lake ESU,Widespread salmon,9,9,9,9,9,9,9,9,9,9
Sucker shortnose,Locally endemic,6,4,5,7,7,6,8,8,8,8
Steelhead lower columbia river summer dps,Widespread steelhead,10,10,13,13,17,14,17,17,17,17
Eulachon,Locally endemic,12,16,26,30,31,31,35,35,35,35
Chub alvord,Locally endemic,1,2,2,4,4,4,4,4,4,4
